label,path
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_1.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_10.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_100.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_101.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_102.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_103.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_104.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_105.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_106.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_107.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_108.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_109.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_11.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_110.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_111.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_112.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_113.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_114.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_115.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_116.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_117.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_118.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_119.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_12.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_120.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_121.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_122.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_123.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_124.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_125.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_126.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_127.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_128.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_129.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_13.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_130.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_131.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_132.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_133.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_134.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_135.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_136.jpg
glioma,F:\brain tumor detection\data\raw\primary\glioma\glioma_Te-gl_137.jpg
